country,region,happiness_rank,happiness_score,standard_error,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption_perception,generosity,dystopia_residual,year,whisker_low,whisker_high,continent
Jamaica,,76,5.31099987030029,,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.0552677810192108,0.233818337321281,1.61232566833496,2017,5.04060101211071,5.58139872848988,Americas
Croatia,,77,5.29300022125244,,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.0431031100451946,0.248002976179123,1.85449242591858,2017,5.19422323793173,5.39177720457315,Europe
China,,79,5.27299976348877,,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0227942746132612,0.0288068410009146,1.76493859291077,2017,5.2267214372009,5.31927808977663,Asia
Pakistan,,80,5.26900005340576,,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.124348066747189,0.315446019172668,2.79248929023743,2017,5.17801646545529,5.35998364135623,Asia
Indonesia,,81,5.26200008392334,,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.0153171354904771,0.611704587936401,1.42947697639465,2017,5.17111156970263,5.35288859814405,Asia
Venezuela,,82,5.25,,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0644911229610443,0.0650196298956871,1.78946375846863,2017,5.1299680544436,5.3700319455564,Americas
Montenegro,,83,5.23699998855591,,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.0881741940975189,0.197911024093628,1.72919154167175,2017,5.13295553654432,5.34104444056749,Europe
Morocco,,84,5.2350001335144,,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0877631828188896,0.0322099551558495,2.45618939399719,2017,5.15165930226445,5.31834096476436,Africa
Dominican Republic,,86,5.23000001907349,,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445,1.31946516036987,2017,5.11093915298581,5.34906088516116,Americas
Greece,,87,5.22700023651123,,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.04328977689147,0.0,1.74922156333923,2017,5.12875430360436,5.3252461694181,Europe
Lebanon,,88,5.22499990463257,,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.037513829767704,0.264450758695602,1.69507384300232,2017,5.13111752077937,5.31888228848577,Asia
Portugal,,89,5.19500017166138,,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0158694516867399,0.0951027125120163,1.10768270492554,2017,5.10495861023665,5.28504173308611,Europe
Bosnia and Herzegovina,,90,5.18200016021729,,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.0,0.328867495059967,1.89217257499695,2017,5.08766463369131,5.27633568674326,Europe
Honduras,,91,5.18100023269653,,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.0733454525470734,0.236188873648643,2.06581115722656,2017,5.0604176685214,5.30158279687166,Americas
Somalia,,93,5.15100002288818,,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.282410323619843,0.291631311178207,3.11748456954956,2017,5.0595163358748,5.24248370990157,Africa
Vietnam,,94,5.07399988174438,,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.0876332372426987,0.234968051314354,1.46231865882874,2017,5.000718998909,5.14728076457977,Asia
Nigeria,,95,5.07399988174438,,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.0261215660721064,0.230947196483612,2.36539053916931,2017,4.93849962800741,5.20950013548136,Africa
Nepal,,99,4.96199989318848,,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.0729755461215973,0.394096165895462,1.8912410736084,2017,4.85664370700717,5.06735607936978,Asia
Mongolia,,100,4.95499992370605,,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.0329022891819477,0.338464230298996,1.11129236221313,2017,4.88832033827901,5.0216795091331,Asia
South Africa,,101,4.8289999961853,,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.0725094974040985,0.139362379908562,1.51090860366821,2017,4.72856480464339,4.92943518772721,Africa
Tunisia,,102,4.80499982833862,,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0867231488227844,0.0496933571994305,1.89025115966797,2017,4.72563264966011,4.88436700701714,Africa
Egypt,,104,4.7350001335144,,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.114381365478039,0.128631442785263,1.70216107368469,2017,4.64486647740006,4.82513378962874,Africa
Bulgaria,,105,4.71400022506714,,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.0110515309497714,0.113177694380283,0.996139287948608,2017,4.62430574372411,4.80369470641017,Europe
Sierra Leone,,106,4.70900011062622,,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,0.0710951760411263,0.293040901422501,2.66845989227295,2017,4.56735688626766,4.85064333498478,Africa
Cameroon,,107,4.69500017166138,,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.0513066314160824,0.236298456788063,2.3336455821991,2017,4.5934594860673,4.79654085725546,Africa
Iran,,108,4.69199991226196,,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.048761073499918,0.387242913246155,1.49873495101929,2017,4.58577511683106,4.79822470769286,Asia
Albania,,109,4.64400005340576,,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.0398642159998417,0.201312944293022,1.49044156074524,2017,4.53553610041738,4.75246400639415,Europe
Bangladesh,,110,4.60799980163574,,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.123717859387398,0.172255352139473,1.97873616218567,2017,4.52617794498801,4.68982165828347,Asia
Namibia,,111,4.57399988174438,,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0931469723582268,0.0771337449550629,1.4818902015686,2017,4.37764502257109,4.77035474091768,Africa
Kenya,,112,4.55299997329712,,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.0646413192152977,0.444860309362411,1.6519021987915,2017,4.45030835598707,4.65569159060717,Africa
Mozambique,,113,4.55000019073486,,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.179436385631561,0.322228103876114,2.35565090179443,2017,4.3258980551362,4.77410232633352,Africa
Myanmar,,114,4.54500007629395,,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.188816204667091,0.838075160980225,1.11529040336609,2017,4.47526020616293,4.61473994642496,Asia
Senegal,,115,4.53499984741211,,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.115460447967052,0.183468893170357,1.78964614868164,2017,4.46839591354132,4.6016037812829,Africa
Zambia,,116,4.51399993896484,,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.0782135501503944,0.249580144882202,1.82670545578003,2017,4.38389437645674,4.64410550147295,Africa
Iraq,,117,4.49700021743774,,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.107215754687786,0.19963726401329,1.31890726089478,2017,4.37140902519226,4.62259140968323,Asia
Gabon,,118,4.46500015258789,,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0760467872023582,0.0437853783369064,1.32291626930237,2017,4.37263853952289,4.5573617656529,Africa
Ethiopia,,119,4.46000003814697,,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637,2.01574373245239,2017,4.377271399647,4.54272867664695,Africa
Sri Lanka,,120,4.44000005722046,,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.0736539661884308,0.490863561630249,0.419389247894287,2017,4.32655292212963,4.55344719231129,Asia
India,,122,4.31500005722046,,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.0922268852591515,0.231538489460945,1.5191171169281,2017,4.25847809694707,4.37152201749384,Asia
Mauritania,,123,4.29199981689453,,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.136957004666328,0.201870024204254,1.65163731575012,2017,4.20683601751924,4.37716361626983,Africa
Mali,,127,4.19000005722046,,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.104970246553421,0.183354198932648,1.66819095611572,2017,4.11032940343022,4.26967071101069,Africa
Cambodia,,129,4.16800022125244,,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,1.04294109344482,2017,4.05748262897134,4.27851781353354,Asia
Sudan,,130,4.13899993896484,,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.089847519993782,0.182317450642586,1.68706583976746,2017,3.9322527128458,4.34574716508389,Africa
Ghana,,131,4.11999988555908,,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.0253363698720932,0.256923943758011,1.57786750793457,2017,4.01729256257415,4.22270720854402,Africa
Uganda,,133,4.08099985122681,,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.057069718837738,0.325766056776047,1.526362657547,2017,3.96619973540306,4.19579996705055,Africa
Burkina Faso,,134,4.03200006484985,,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,1.72721290588379,2017,3.93994106531143,4.12405906438828,Africa
Niger,,135,4.02799987792969,,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.138572946190834,0.228673845529556,1.87398338317871,2017,3.94405293613672,4.11194681972265,Africa
Malawi,,136,3.97000002861023,,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.0727116540074348,0.287170469760895,2.08178615570068,2017,3.86252123981714,4.07747881740332,Africa
Chad,,137,3.93600010871887,,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.0535818822681904,0.216113850474358,2.07123804092407,2017,3.83728869348764,4.0347115239501,Africa
Zimbabwe,,138,3.875,,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.0953753814101219,0.189143493771553,1.59797024726868,2017,3.77130035728216,3.97869964271784,Africa
Lesotho,,139,3.80800008773804,,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.119094640016556,0.157497271895409,1.42983531951904,2017,3.5716561999917,4.04434397548437,Africa
Angola,,140,3.79500007629395,,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.0697203353047371,0.097926490008831,1.61448240280151,2017,3.63835821717978,3.95164193540812,Africa
Afghanistan,,141,3.79399991035461,,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2.15080118179321,2017,3.71433840543032,3.87366141527891,Asia
Botswana,,142,3.76600003242493,,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,0.3779137134552,2017,3.65787739858031,3.87412266626954,Africa
Benin,,143,3.65700006484985,,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.0609290152788162,0.207948461174965,1.88563096523285,2017,3.56821657836437,3.74578355133533,Africa
Madagascar,,144,3.64400005340576,,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.0672319754958153,0.208732530474663,1.58461260795593,2017,3.57368100091815,3.71431910589337,Africa
Haiti,,145,3.6029999256134,,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.0998721495270729,0.489203780889511,1.69716763496399,2017,3.47128505349159,3.73471479773521,Americas
Liberia,,148,3.53299999237061,,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.0389482490718365,0.26654988527298,1.67328596115112,2017,3.41224372386932,3.65375626087189,Africa
Guinea,,149,3.50699996948242,,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.110937617719173,0.264815092086792,1.55231189727783,2017,3.4295718100667,3.58442812889814,Africa
Togo,,150,3.49499988555908,,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.0956650152802467,0.196896150708199,1.83722925186157,2017,3.39596165940166,3.59403811171651,Africa
Rwanda,,151,3.47099995613098,,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.455220013856888,0.252756029367447,0.540061235427856,2017,3.39896967872977,3.54303023353219,Africa
Syria,,152,3.46199989318848,,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.151347130537033,0.493663728237152,1.06157350540161,2017,3.26033122956753,3.66366855680943,Asia
Tanzania,,153,3.34899997711182,,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.0660351067781448,0.354256361722946,0.621130466461182,2017,3.23657019883394,3.46142975538969,Africa
Burundi,,154,2.90499997138977,,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.0841479450464249,0.204435184597969,1.68302416801453,2017,2.73530960977077,3.07469033300877,Africa
Central African Republic,,155,2.69300007820129,,0.0,0.0,0.0187726859003305,0.270842045545578,0.0565650761127472,0.280876487493515,2.06600475311279,2017,2.52111588716507,2.86488426923752,Africa
Finland,,1,7.632,,1.305,1.592,0.874,0.681,0.393,0.202,,2018,,,Europe
Norway,,2,7.594,,1.456,1.582,0.861,0.686,0.34,0.286,,2018,,,Europe
Denmark,,3,7.555,,1.351,1.59,0.868,0.683,0.408,0.284,,2018,,,Europe
Iceland,,4,7.495,,1.343,1.644,0.914,0.677,0.138,0.353,,2018,,,Europe
